dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,81.798473,121.117941,15.000000,30.000000,30.000000,30.000000,0.126870
1.000000,123.921674,136.177683,60.000000,60.000000,30.000000,0.000000,0.497564
1.000000,172.199047,163.372035,115.430588,50.861177,-9.138823,-39.138823,0.434757
1.000000,206.488291,173.233234,151.291765,20.861177,-30.000000,-20.861177,0.089514
1.000000,216.908313,173.503008,161.722354,0.000000,-20.861177,9.138823,6.245229
1.000000,216.908313,173.503008,161.722354,0.000000,0.000000,20.861177,6.245229
