dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,83.127039,110.702332,15.000000,30.000000,30.000000,30.000000,0.126870
1.000000,128.933182,126.950831,63.602639,48.602639,18.602639,-11.397361,0.497564
1.000000,176.621538,153.848823,118.353723,54.751084,6.148446,-12.454193,0.434757
1.000000,207.426938,162.775273,150.426362,32.072639,-22.678445,-28.826891,0.089514
1.000000,216.509866,163.010571,159.512338,9.085976,-22.986663,-0.308218,6.245229
1.000000,216.509866,163.010571,159.512338,0.000000,-9.085976,13.900688,6.245229
