dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,80.469907,131.533550,15.000000,30.000000,30.000000,30.000000,0.126870
1.000000,118.910166,145.404534,55.866340,40.866340,10.866340,-19.133660,0.497564
1.000000,167.776556,172.895247,111.934721,56.068381,15.202041,4.335701,0.434757
1.000000,205.549644,183.691194,151.220324,39.285603,-16.782777,-31.984818,0.089514
1.000000,217.306760,183.995446,162.981377,11.761053,-27.524551,-10.741773,6.245229
1.000000,217.306760,183.995446,162.981377,0.000000,-11.761053,15.763498,6.245229
